序號,識別內容,X,Y,Width,Height,Confidence
1,AV C101,52,182,105,106,0.826
2,AV C102,166,182,107,103,0.883
3,AV C105,280,184,107,102,0.856
4,AV C106,394,182,105,101,0.872
5,AV C107,510,183,108,101,0.834
6,AV C109,624,183,106,103,0.885
7,AV C110,737,183,109,101,0.867
8,AV C111,852,183,106,103,0.882
9,AV C112,966,182,107,102,0.882
10,AV C113,1080,183,105,104,0.855
11,AV C114,52,297,105,112,0.817
12,AV C201,166,296,109,111,0.898
13,AV C202,281,297,106,110,0.856
14,AV C203,394,296,107,111,0.905
15,AV C204,510,297,110,112,0.845
16,AV C205,624,297,108,112,0.906
17,AV C206,737,297,111,112,0.879
18,AV C207,852,296,106,111,0.893
19,AV C208,966,296,110,111,0.903
20,AV C302,1081,297,106,111,0.852
21,AV C303,52,409,105,107,0.768
22,AV C304,166,410,110,104,0.829
23,AV C305,280,409,107,105,0.821
24,AV C306,394,410,109,104,0.835
25,AV C401,510,410,109,105,0.779
26,AV C402,624,410,107,105,0.844
27,AV C405,738,410,112,105,0.814
28,AV C406,853,410,106,106,0.845
29,AV C407,967,410,110,105,0.848
30,AV C408,1081,410,106,104,0.81
31,AV C409,52,524,105,111,0.839
32,AV N601,166,525,108,110,0.903
33,AV N603,281,525,108,110,0.862
34,AV N604,395,525,108,110,0.91
35,AV N605,510,525,110,109,0.856
36,AV N606,624,525,108,110,0.907
37,AV N607,737,525,111,110,0.888
38,AV W201,852,525,106,110,0.896
39,AV W202,965,525,109,110,0.911
40,AV W203,1080,525,107,110,0.862
41,AV W204,52,640,105,109,0.755
42,AV W205,166,640,108,106,0.834
43,AV W206,280,640,107,106,0.783
44,AV W401,395,641,108,106,0.843
45,AV W402,510,640,110,107,0.775
46,AV W403,624,641,107,108,0.843
47,AV W404,738,640,110,106,0.817
48,BV A101,852,641,106,109,0.821
49,BV A601,966,640,110,106,0.831
50,BV A602,1080,640,107,107,0.764
51,BV A603,52,753,104,108,0.84
52,BV CO2,166,752,109,107,0.893
53,BV N101,280,753,106,109,0.865
54,BV N102,394,752,107,107,0.898
55,BV N103,510,753,110,107,0.837
56,BV N2,624,753,108,108,0.899
57,BV N601,737,753,111,107,0.88
58,BV N602,852,753,106,108,0.89
59,BV N603,966,752,109,107,0.903
60,CV N601,1080,754,106,108,0.857
61,CV N602,52,869,105,111,0.797
62,CV N603,165,868,109,109,0.876
63,CV W401,280,870,107,110,0.836
64,CV W402,394,869,108,110,0.888
65,CV W403,510,869,110,110,0.825
66,CV W404,624,869,106,110,0.887
67,CV W405,737,869,111,110,0.856
68,MV C101,852,869,106,110,0.866
69,MV C102,966,868,109,109,0.883
70,MV C106,1080,870,107,110,0.826
71,MV C107,52,981,105,108,0.828
72,MV C201,167,981,109,106,0.87
73,MV C202,281,982,107,108,0.845
74,MV C205,395,981,107,106,0.878
75,MV C206,511,981,110,106,0.818
76,MV C301,625,981,106,107,0.881
77,MV C302,740,981,109,106,0.876
78,MV C303,854,981,106,107,0.874
79,MV C304,968,980,108,105,0.882
80,MV N401,1080,981,105,107,0.843
81,MV N601,52,1097,105,112,0.818
82,MV W401,166,1096,109,111,0.892
83,NV N601,282,1097,109,111,0.835
84,NV W401,397,1097,108,110,0.917
85,NV W402,511,1097,110,112,0.872
86,RV A101,626,1097,106,111,0.913
87,RV A601,739,1097,111,112,0.896
88,RV A602,854,1097,108,111,0.895
89,RV A603,967,1096,109,111,0.908
90,RV N101,1081,1097,106,111,0.866
91,RV N601,52,1209,105,107,0.78
92,RV N602,165,1209,109,106,0.83
93,RV N603,281,1210,109,106,0.817
94,AV C103,52,182,104,103,0.808
95,AV C104,166,183,106,102,0.879
96,AV C105,280,184,107,102,0.859
97,AV C106,394,183,105,100,0.874
98,AV C107,510,183,108,101,0.832
99,AV C108,624,183,106,103,0.881
100,AV C113,737,182,109,101,0.87
101,AV C114,852,183,106,103,0.882
102,AV C201,966,183,106,102,0.877
103,AV C202,1080,183,105,103,0.842
104,AV C203,52,297,105,112,0.814
105,AV C204,166,296,109,111,0.901
106,AV C209,281,297,106,110,0.859
107,AV C210,394,296,107,111,0.907
108,AV C211,510,297,110,112,0.847
109,AV C212,624,297,108,112,0.905
110,AV C301,737,297,111,112,0.878
111,AV C302,852,296,106,111,0.89
112,AV C303,966,296,110,111,0.902
113,AV C304,1081,297,106,111,0.851
114,AV C306,52,409,105,107,0.766
115,AV C401,166,410,110,104,0.83
116,AV C404,281,410,108,106,0.825
117,AV C408,394,410,109,104,0.836
118,AV C409,510,410,109,105,0.78
119,AV N101,624,410,107,105,0.843
120,AV N102,737,410,111,105,0.817
121,AV N201,852,410,105,105,0.846
